municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Huntington,Angelina,2051,50620,31.2776969,-94.5770539,"[31.2776969, -94.5770539]",east,https://directory.tml.org/profile/city/968
Bertram,Burnet,2016,72510,30.7437957,-98.0555763,"[30.7437957, -98.0555763]",east,https://directory.tml.org/profile/city/1330
Kirbyville,Jasper,2015,50038,30.658698,-93.8939722,"[30.658698, -93.8939722]",east,https://directory.tml.org/profile/city/1013
Little River-Academy,Bell,1996,58878,30.9862937,-97.3586138,"[30.9862937, -97.3586138]",east,https://directory.tml.org/profile/city/1952
Ganado,Jackson,1994,60666,29.0405363,-96.5135831,"[29.0405363, -96.5135831]",east,https://directory.tml.org/profile/city/1100
Shepherd,San Jacinto,1985,52302,30.4977012,-94.9966213,"[30.4977012, -94.9966213]",east,https://directory.tml.org/profile/city/657
Quitman,Wood,1983,53485,32.7959605,-95.4510641,"[32.7959605, -95.4510641]",east,https://directory.tml.org/profile/city/792
Cooper,Delta,1982,50329,33.3734427,-95.6882925,"[33.3734427, -95.6882925]",east,https://directory.tml.org/profile/city/1204
West Tawakoni,Hunt,1971,58326,32.9035592,-96.0381128,"[32.9035592, -96.0381128]",east,https://directory.tml.org/profile/city/548
Krugerville,Denton,1970,98027,33.2815064,-96.9905628,"[33.2815064, -96.9905628]",east,https://directory.tml.org/profile/city/1927
Anahuac,Chambers,1956,89767,29.7730001,-94.6826961,"[29.7730001, -94.6826961]",east,https://directory.tml.org/profile/city/1283
Waskom,Harrison,1933,56645,32.4787644,-94.0596305,"[32.4787644, -94.0596305]",east,https://directory.tml.org/profile/city/537
Grandview,Johnson,1904,76226,32.2704245,-97.1791759,"[32.2704245, -97.1791759]",east,https://directory.tml.org/profile/city/1126
Meadowlakes,Burnet,1901,72510,30.5624118,-98.2964118,"[30.5624118, -98.2964118]",east,https://directory.tml.org/profile/city/1376
San Augustine,San Augustine,1885,43335,31.5296413,-94.1119678,"[31.5296413, -94.1119678]",east,https://directory.tml.org/profile/city/626
Blanco,Blanco,1883,69247,30.0979862,-98.4214095,"[30.0979862, -98.4214095]",east,https://directory.tml.org/profile/city/1336
Beverly Hills,McLennan,1871,58524,31.5215557,-97.1538919,"[31.5215557, -97.1538919]",east,https://directory.tml.org/profile/city/1331
Splendora,Montgomery,1867,87831,30.2329914,-95.1610438,"[30.2329914, -95.1610438]",east,https://directory.tml.org/profile/city/677
Woodcreek,Hays,1852,79336,30.0282683,-98.1111211,"[30.0282683, -98.1111211]",east,https://directory.tml.org/profile/city/1874
Jefferson,Marion,1850,43178,32.7573626,-94.3451926,"[32.7573626, -94.3451926]",east,https://directory.tml.org/profile/city/989
Mart,McLennan,1846,58524,31.5423911,-96.8336015,"[31.5423911, -96.8336015]",east,https://directory.tml.org/profile/city/419
Southside Place,Harris,1845,63539,29.7060634,-95.4368849,"[29.7060634, -95.4368849]",east,https://directory.tml.org/profile/city/675
Johnson City,Blanco,1826,69247,30.2767408,-98.4119811,"[30.2767408, -98.4119811]",east,https://directory.tml.org/profile/city/993
Buffalo,Leon,1821,51582,31.4637866,-96.0580197,"[31.4637866, -96.0580197]",east,https://directory.tml.org/profile/city/1368
Sour Lake,Hardin,1821,67183,30.1402122,-94.4110239,"[30.1402122, -94.4110239]",east,https://directory.tml.org/profile/city/671
Linden,Cass,1814,42896,33.0123537,-94.3654707,"[33.0123537, -94.3654707]",east,https://directory.tml.org/profile/city/1051
Patton Village,Montgomery,1806,87831,30.1947464,-95.1731446,"[30.1947464, -95.1731446]",east,https://directory.tml.org/profile/city/751
Somerset,Bexar,1800,63014,29.2261908,-98.6576938,"[29.2261908, -98.6576938]",east,https://directory.tml.org/profile/city/668
Kemah,Galveston,1792,77627,29.5427297,-95.0204837,"[29.5427297, -95.0204837]",east,https://directory.tml.org/profile/city/1004
Yorktown,DeWitt,1789,54279,28.9810888,-97.5027719,"[28.9810888, -97.5027719]",east,https://directory.tml.org/profile/city/577
Lorena,McLennan,1780,58524,31.3865592,-97.2155596,"[31.3865592, -97.2155596]",east,https://directory.tml.org/profile/city/847
Itasca,Hill,1767,52495,32.1595947,-97.1500074,"[32.1595947, -97.1500074]",east,https://directory.tml.org/profile/city/983
Honey Grove,Fannin,1760,56794,33.5834377,-95.9099681,"[33.5834377, -95.9099681]",east,https://directory.tml.org/profile/city/958
Bayou Vista,Galveston,1756,77627,29.3263467,-94.9385339,"[29.3263467, -94.9385339]",east,https://directory.tml.org/profile/city/1564
Uhland,Hays,1751,79336,29.9577184,-97.7861137,"[29.9577184, -97.7861137]",east,https://directory.tml.org/profile/city/1573
Gregory,San Patricio,1731,58227,27.9222444,-97.2899915,"[27.9222444, -97.2899915]",east,https://directory.tml.org/profile/city/1132
Franklin,Robertson,1728,50816,31.0260194,-96.4852444,"[31.0260194, -96.4852444]",east,https://directory.tml.org/profile/city/1087
Lowry Crossing,Collin,1699,102119,33.1548392,-96.5472113,"[33.1548392, -96.5472113]",east,https://directory.tml.org/profile/city/1516
Goliad,Goliad,1683,58937,28.6683252,-97.3883265,"[28.6683252, -97.3883265]",east,https://directory.tml.org/profile/city/1115
Danbury,Brazoria,1662,82165,29.2282966,-95.3449365,"[29.2282966, -95.3449365]",east,https://directory.tml.org/profile/city/1229
Oak Leaf,Ellis,1651,87698,32.5204155,-96.8547217,"[32.5204155, -96.8547217]",east,https://directory.tml.org/profile/city/1655
Bartlett,Williamson,1613,96653,30.7949121,-97.4255583,"[30.7949121, -97.4255583]",east,https://directory.tml.org/profile/city/1314
Moody,McLennan,1601,58524,31.3082273,-97.3613977,"[31.3082273, -97.3613977]",east,https://directory.tml.org/profile/city/900
Newton,Newton,1593,44030,30.8485724,-93.7600658,"[30.8485724, -93.7600658]",east,https://directory.tml.org/profile/city/931
Charlotte,Atascosa,1575,57905,28.8619201,-98.7064121,"[28.8619201, -98.7064121]",east,https://directory.tml.org/profile/city/1174
